Report ID,Years Covered,Country Name,Lookup,Region,Country Webpage,Sector,Total Production Value (US$),Revenue Streams Covered,Includes In-kind Payments,Added to Payments by Author,Payments Received by Government from Covered Companies (US$),Payments Made by Covered Companies (US$),Proportion of Total Revenue/Production Covered (as indicated in EITI Report),Total Government Extractives Revenue (US$),Source for Total Government Extractives Revenues,Government's share,Currency,"Exchange Rate Utilized, US$1:LC",Disaggregation,In-kind Payment Volumes,In-kind Payment Value (US$),Nature of Subsidy,Amount of Subsidy (US$),Number of Companies Requested to Report,Companies Requested to Report,Number of Reporting Companies,Publication Date,Updated Date,Name of the Reconciler,EITI Report,Page of the Report,Comments
Coted'Ivoire2011,2011,Côte d'Ivoire,2011_Côte d'Ivoire,Africa,http://www.cnitie.ci/,"Oil, Gas, Mining",2356429709.994287,"Host government's production entitlement, State-owned company production entitlement, Royalties, Dividends, Licenses and concessions, Other significant benefits to government",Also covers payments made in-kind,No,389368836.0980392,397882411.3509804,,,,0.16523677088546945,West African CFA Franc,510.0,Disaggregated by revenue stream,,,,,35.0,"Petroleum: Petroci Holding (National oil company), Afren, Canadian National Resources (CRN), Foxtrot International, African Petroleum, Anadarko, Edison, Lukoil, Oranto, Rialto Energy (ex C&L Natural Resources), Taleveras, Total, Tullow Oil, Vanco, Yam's Petroleum. Mining: Sodemi (state mining company), LGL-Equigold, Societe des Mines D'Ity (SMI), Yaoure mining, Tongon, Boundoukou Manganese (ex Taurian), Carem (ex BIPTFOP), Cominor, Etruscan Resources, Golden Oriole, Golden Star Exloration, Jofema Mineral Resources, New African Business Corporation, Newmont Overseas Exploration, Occidental Gold, Randgold Resources, Rockstone Gold, SOMICI, Tata Steel, TD Continental.",34.0,41365.0,41949.0,Fair Links,http://eiti.org/files/Cote-dIvoire-2011-EITI-Report-FR.pdf,"8, 9, 16-18","PETROCI, the national petroleum company, is included both as a recipient of certain revenues (in-kind profit oil and gas, Besoins nationaux) and a paying entity (it pays dividends and the proceeds of commercialized profit oil/gas and dividends to the state). Total state revenues include companies' financial payments, Petroci's dividends, and the value of profit oil/gas commercialized by PETROCI on behalf of the state. The value of profit oil/gas retained by PETROCI is not included in government totals and has not been added. Sodemi, the state mining company, collects dividends from companies on behalf of the state; these revenues are included in govt totals. Sodemi also makes payments (royalties, BIC tax) to the government. eiti.org totals do not appear to include PETROCI and SODEMI flows; however, even when these flows are added there are small (less than 1%) differences between the totals here and those given by eiti.org. One mining company (Rockstone Gold) did not report, and were not included in reconciliation."
Coted'Ivoire2012,2012,Côte d'Ivoire,2012_Côte d'Ivoire,Africa,http://www.cnitie.ci/,"Oil, Gas, Mining",,"Host government's production entitlement, State-owned company production entitlement, Profits/Taxes, Royalties, Dividends, Bonuses, Licenses and concessions",Also covers payments made in-kind,No,615027475.0,605454283.43,,1016888372.94,,,West African CFA Franc,503.068,"Disaggregated by revenue stream, Disaggregated by company",,,,,53.0,"Tullow Oil, African Petroleum, Vitol Côte d'Ivoire, Vioco Petroleum (Rialto Petroleum), Anadarko, CNR International, Lukoil, Foxtrot International, Taleveras, Agbaou Gold Operations, Equigold CI, CMMK, Bondoukou Manganese SA, Etruscan Resources CI, Geb &
Nut Ressources, CML, Golden Oriole, Geoservice, Niquelafrica, Jofema Mineral Resources, New Mining, Planet Mineral, NABC SA, Mayana SARL, Newmont Overseas Exploration LTD, B.I.P.T.F.O.P., Rockstone Gold SA, Resolute, Caystar CI, Somici, Sani Resources, Golden Star Exploration, Tata Steel CI SA, Sermis, Cominor, TD Continental, IBG ***",37.0,December 2014,,Moore Stephens,https://eiti.org/files/CDI%202012%20EITI%20Report%20Final%20MS.pdf,,Companies requested to report / reporting section unclear (and discrepancy with the website). Production volumes unclear. Only export volumes provided for some commodities. The prodcution value figures are the ones reported by the government. The EITI report also inlcudes companies production figures : USD1125024847.54 of oil and USD 587465312.84 of gold. 
DemocraticRepublicofCongo2007,2007,Democratic Republic of Congo,2007_Democratic Republic of Congo,Africa,http://www.itierdc.com,"Oil, Mining",1339869004.3996217,"Profits/Taxes, Royalties, Dividends, Bonuses",Does not include payments made in-kind,,416300000.0,416491000.0,,,,0.31070201537092706,,516.75,Disaggregated by revenue stream,,,,,,,26.0,November 2009,41922.0,PricewaterhouseCoopers DRC,http://eiti.org/files/DRC%202007%20EITI%20Report.pdf,,
DemocraticRepublicofCongo2008,2008,Democratic Republic of Congo,2008_Democratic Republic of Congo,Africa,http://www.itierdc.com,"Oil, Mining",1919603437.0635471,"Profits/Taxes, Royalties, Dividends, Bonuses, Licenses and concessions",Does not include payments made in-kind,,516117440.1030104,578201440.1030104,,,,0.2688666993077095,United States Dollar and Congolese Franc,450.44,Disaggregated by revenue stream,,,,,70.0,"PETROLEUM: Perenco, Chevron ODS, Muanda International Oil Company, Lirex, Surestream, Teikoku Oil. MINING PRODUCTION: Anvil Mining Company Katanga, Anvil Mining Congo, Bazano, Boss Mining SPRL, Chemical of Africa, Compagnie Miniere de Sakania, Compagnie Miniere du Sud Katanga, DRC Cooper et Cobalt Project, Frontier, Generale des Carrieres et des Mines, Kamoto Copper Company, La Miniere de Bakwanga, Ciming Company Katanga (MCK), Mutanda Mining, New Dathy Corp, Ruashi Mining, Societe de Tratement du Terril de Lubumbashi, Societe d'Exploitation de Kipoi, Societe de Developpement Industriel et Minier du Congo, Tanke Fungurume Mining, Volcano Mining. MINING EXPLORATION: African Minerals (Barbados) Ltd SPRL, Anglogold, Bolfast Company, Cluff Mining, Congo Cobalt Corp, Congo Dongfang Intl Mining, Congo Loyal Will Mining, De Beers DRC Exploration, Jindal Mineral Metals Africa Congo, Kasonto Lupoto Mines SPRL, Kibali Goldmine, Kingamiambo Musonoi Tailing, Miniere de Musoshi & Kinsenda SARL, Roan Prospecting & Mining. ARTISENAL/MINERAL TRADERS: North Kivu: AMUR, Afromet, CLEPAD, Donson Intl., Ebir, FRADEBU, GMC Global Mining Company, Hillside, Huaying Trading Co, Kivu Metal, METACHEM, Mining and Processing Congo, MUNSAD, Mutombo, Namukaya, Pan African Business Group, Sodexmines, Tin Tantalite Tungestene, Tengen Metals Congo. South Kivu: Bakulikira, Panju, WMC. Diamond traders Kinshasa: ACD, ADEX, Congo Diam, Gama, k.w.b, Margaux, Primo-Gem.",Unclear,January 2012,41950.0,Fair Links,http://eiti.org/files/DRC%202008-2009%20EITI%20Report.pdf,"Petroleum: 7, Mining: 8-10",DRC produced separate EITI Reports for petroleum and minerals; the reports include data for 2008 and 2009. Totals include SOC receipts (counted as govt revenues) and SOC payments (counted as company payments).
DemocraticRepublicofCongo2009,2009,Democratic Republic of Congo,2009_Democratic Republic of Congo,Africa,http://www.itierdc.com,"Oil, Mining",2372226218.9844656,"Profits/Taxes, Royalties, Dividends, Bonuses, Licenses and concessions",Does not include payments made in-kind,,253718209.59147424,294456985.7904085,,,,0.10695363180839024,United States Dollar and Congolese Franc,563.0,Disaggregated by revenue stream,,,,,70.0,"PETROLEUM: Perenco, Chevron ODS, Muanda International Oil Company, Lirex, Surestream, Teikoku Oil. MINING PRODUCTION: Anvil Mining Company Katanga, Anvil Mining Congo, Bazano, Boss Mining SPRL, Chemical of Africa, Compagnie Miniere de Sakania, Compagnie Miniere du Sud Katanga, DRC Cooper et Cobalt Project, Frontier, Generale des Carrieres et des Mines, Kamoto Copper Company, La Miniere de Bakwanga, Ciming Company Katanga (MCK), Mutanda Mining, New Dathy Corp, Ruashi Mining, Societe de Tratement du Terril de Lubumbashi, Societe d'Exploitation de Kipoi, Societe de Developpement Industriel et Minier du Congo, Tanke Fungurume Mining, Volcano Mining. MINING EXPLORATION: African Minerals (Barbados) Ltd SPRL, Anglogold, Bolfast Company, Cluff Mining, Congo Cobalt Corp, Congo Dongfang Intl Mining, Congo Loyal Will Mining, De Beers DRC Exploration, Jindal Mineral Metals Africa Congo, Kasonto Lupoto Mines SPRL, Kibali Goldmine, Kingamiambo Musonoi Tailing, Miniere de Musoshi & Kinsenda SARL, Roan Prospecting & Mining. ARTISENAL/MINERAL TRADERS: North Kivu: AMUR, Afromet, CLEPAD, Donson Intl., Ebir, FRADEBU, GMC Global Mining Company, Hillside, Huaying Trading Co, Kivu Metal, METACHEM, Mining and Processing Congo, MUNSAD, Mutombo, Namukaya, Pan African Business Group, Sodexmines, Tin Tantalite Tungestene, Tengen Metals Congo. South Kivu: Bakulikira, Panju, WMC. Diamond traders Kinshasa: ACD, ADEX, Congo Diam, Gama, k.w.b, Margaux, Primo-Gem.",Unclear,January 2012,41950.0,Fair Links,http://eiti.org/files/DRC%202008-2009%20EITI%20Report_0.pdf,"Petroleum: 7, Mining: 8-10",DRC produced separate EITI Reports for petroleum and minerals; the reports include data for 2008 and 2009. Totals include SOC receipts (counted as govt revenues) and SOC payments (counted as company payments).
DemocraticRepublicofCongo2010,2010,Democratic Republic of Congo,2010_Democratic Republic of Congo,Africa,http://www.itierdc.com,"Oil, Mining",3616420259.5613256,"Host government's production entitlement, Profits/Taxes, Royalties, Dividends, Bonuses, Licenses and concessions, Other significant benefits to government",Does not include payments made in-kind,,875938726.0,773021963.0,,,,0.2422115415607842,United States Dollar,910.0,"Disaggregated by revenue stream, Disaggregated by company",,,,,60.0,"Mining: AMC, AMCK, BAZANO, BOLFAST, BOSS MINING, CDM, CHEMAF, CMSK, COMISA, CONGO LOYAL, FEZA MINING, FRONTIER, GECAMINES, GOLDEN AFRICA, KCC, MUMI, MIBA, SEK, CHABARA, COMIDE, KANSUKI, KISANFU, LUGUSHWA, NAMOYA, SECAKAT, SICOMINES, SMKK, SODIFOR, SODIMIKA, SWANMINES, TWANGIZA, SAKIMA, SCMK-Mn, SOKIMO. Petroleum: CHEVRON, LIREX, MIOC, PERENCO, TEIKOKU, DIVINE, ENRGULF, NESSERGY, OIL OF DRC, SOCO, SURESTREAM.",58.0,January 2013,41950.0,KPMG,http://eiti.org/files/Congo-DRC-2010-EITI-Report-ENG_0.pdf,33-35,"The 2010 report has 'positive' discrepancies of US$ 13,360, 092, i.e., company declarations superior to government declarations. It has 'negative' discrepancies of US$ 38,043,591, i.e., government declarations superior to company declarations. In addition, there is a negative discrepancy of US$ 77,633,233 from the 'unilateral' government declaration of the payments from the companies Frontier and Comisa which were sold in 2010 and legally not obliged to report.On 25 January 2013, EITI DRC published the 2010 report which was adopted on 15 January 2013 in new design. The content remains unaltered. Two companies (Frontier and Comisa) did not report; their payments ($ 77 633 233) were reported unilaterally by the state and included in Total Received by Govt. Three SOCs (GECAMINES, SODIMICO and SOKIMO) receive signing bonus and royalty payments from private companies; these receipts are included as govt revenues."
DemocraticRepublicofCongo2011,2011,Democratic Republic of Congo,2011_Democratic Republic of Congo,Africa,http://www.itierdc.com,"Oil, Mining",4885266018.555063,"Host government's production entitlement, State-owned company production entitlement, Profits/Taxes, Royalties, Dividends, Bonuses, Licenses and concessions, Other significant benefits to government",Does not include payments made in-kind,-,1413126313.0,1408273353.0,,,,0.28926291989683023,United States Dollar,,Disaggregated by companies,,,,,110.0,"Cohydro, Mioc, Perencorep, Energulf, Eni Rd Congo, Nessergy, Oil of DR Congo, Soco DRC, Surestream, Total, Caprikate Congo, Chevron ODS, Divine Inspiration Group, Foxwhelp Congo, Glencore, Japeco, Kinrex, Socorep, Soreplico, Solico, Inpex, Ibos, Lirex, Semliki, Teikoku Oil, Cobit, Comico, African Minerals (Barbados), Anvil Mining Company of Katanga (AMCK), Anvil Mining Congo, Ashanti Goldfiels Kilo Sarl, Bazano, Boss Mining Sprl, Chemical of Africa Sprl, Compagnie Miniere du Sud-Katanga Sprl, Congo Dong Fang Minerals, Congo Loyal Will Mining (CLWM), Congolaise des Mines et de Development (COMIDE), Entreprise Generale Mala Forest (EGMF), Gecamines, Sodifor, Kamituga Mining, Kamoto Copper Company, Kansuki Mining Sprl, Kasontolupoto Mines, KGL - Somituri (Societe Miniere de L'Ituri), Kibali Gold Mines, Kimin/Kisanfu Mining, Kinsenda Copper Company, Kipushi Corporation (Kico), Loncor Resources Congo Sprl, Mining Mineral Resources (MMR), Mutanda Mining, Orama, Ruashi Mining, Rubamin, Shituru Mining Corporation, SMKK, S. d'Exploitation de Gisements de Kalukundi (Swan Mines), Societe d'Exploitation de Kipoi (SEK), Societe d'Exploitation Miniere de Chabara Sprl, Societe d'Exploitation Miniere du Haut-Katanga, Societe Miniere du Katange (SOMIKA), SODIMICO, SOKIMO, STL, Tenke Fungurume Mining (TFM), Twangiaz Mining, Bolfast, Congo International Mining Corporation, Cota Mining, Exploitation Artisanale du Congo (EXACO), Feza Mining, Huachin Sprl, JMT, Magma Minerals, Metals Mines, Volcano, La COmminiere, SAKIMA, SCMK - Mn, Societe Congolaise d'Investissement (SCIM), Societe Miniere de Bakwanga (MIBA), Societe Immobiliere du Congo (SIMCO), CLuff Mining, Comagniermusonoi (COMMOS), Compagnie Miniere du Luisha (COMILU) Cooompagnie Miniere Kambove (COMIKA), GTL, La Miniere de Kalumbwemyunga (MKM), La Miniere de Kasombo (MIKAS), Long Fei Mining, Lugushwa Mining, Manono Minerals, Mwana Africa COngo Gold (MIZAKO), Namoya Mining Salr, SECAKAT, SEGMAL, SICOMINES, Societe de Beers DRC Exploration Sprl, Societe Minierede Kolwezi, Societe Miniere de Moku-Beverendi (SMB), Soceite Miniere de Ziwaecaille (SOMIDEC), SODIMIKA (Kimpermabaya), SOMIMI, Wanga Mining, Compagnie Miniere Sakania (COMISA), Frontier, Golden Africa Resources, Metalkol ",106.0,December 2013,41897.0,KPMG,http://www.itierdc.com/Publication_et_rapport/Rapport%20Complementaire%20ITIE-RDC%202011%20-%20version%20anglaise%20%28english%29.pdf,7.0,"This information has been taken from a complementary report as the report on the oil sector has not been translated in to English. Materiality threshold: all oil companies should be reconciled; mining companies that have made payment of more than $500,000 in 2011, state-owned mining companies, mining companies that are in a joint venture with mining companies, and mining companies that have participated in previous EITI Reports, should be reconciled. The report doesn't specify what minerals are mined. Unilateral declarations are included in the figures. The report contains extensive information on the Sicomines project."
DemocraticRepublicofCongo2012,2012,Democratic Republic of Congo,2012_Democratic Republic of Congo,Africa,http://www.itierdc.com,"Oil, Mining",8532889613.92,"Profits/Taxes, Royalties, Dividends, Bonuses, Licenses and concessions, Other significant benefits to government",Also covers payments made in-kind,No,1505213145.0,1514746636.0,0.99,1549000000.0,,0.1815,Congolese Franc,919.5,"Disaggregated by revenue stream, Disaggregated by company",,,,,103.0,"Caprikat, Chevron ODS, Cohydro, Divine, Energulf, Eni, Foxwelp, Glencore, IBOS, INPEX, Japeco, Kinrex, Lirex, MIOC, Nessergy, Oil of DRC, Perencorep, Semliki, Soco, Socorep, Solico, Soreplico, Surestream, Teikoku, Total, African Minerals, Alsesy Trading SPRL, Anvil Mining Compagny Kinsevere (AMCK), Anvil Mining Congo, Ashanti Goldfields Kilo SARL, Bolfast, Bon Geni K. Mining, Boss Mining, Chabara SPRL, Chemical Of Africa, Compagnie De Musonoie Global SPRL, Compagnie Minere De Tondo, Compagnie Miniere De Kambove, Compagnie Miniere De Luisha, Compagnie Miniere Du Sud Katanga, Compagnie Miniere Sakania, Company Miniere De Dilala SPRL, Congo Dongfang International Mining, Congo International Mining Corporation SPRL, Congo Jinjun Cheng Mining Compagny, Entreprise Generale Malta Forest, Exploitations Artisanales Du Congo, Feza Mining, Frontier, Giro Gold, Groupe Bazano, Groupement Du Terril De Lubumbashi, Huachin Metal Leach SPRL, Huachin Mining SPRL, JMT, Kamoto Copper Company, Kansuki Mining SPRL, Kasonto Lupoto Mines, KGL-Somituri (Socitete Miniere De Ituri), Kibali Gold Mines, Kinsenda Copper Company (KICC), Kipushi Corporation, Kisanfu Mining SPRL, La Congolaise D’exploitation Miniere, La Congolaise Des Mines Et De Developpement SPRL, La Generale Des Carrieres Et Des Mines, La Miniere De Kalumbwe Myunga, La Miniere De Kasombo, La Sino Congolaise Des Mines, Loncor Resources Congo SPRL, Long Fei Mining, Magma Minerals, Metal Mines, Mineral Invest International Congo, Mines D’Or De Kisenge SPRL (Cluff Mining), Miniere De Bakwanga, Mining Mineral Resources, Mutanda Mining, Namoya Mining SARL, Orama, Phelps Dodge Congo, Rio Tinto Congo, Ruashi Mining, Rubamin, Shituru Mining Company, Societe Aurifere Du Kivu Et Du Maniema, Societe, Commerciale Miniere De Kisenge Manganese, Societe Congolaise D’investissement Minier, Societe D Exploitation De La Cassiterite Au Katanga SPRL, Societe D Exploitation Des Gisements De Malemba Nkulu SPRL, Societe D’exploitation Des Rejets De Kingamyambo Societe D’Exploitation Kipoi, Societe D’exploration Miniere Du Haut Katanga, Societe D’exploitation Des Gisements De Kalunkundi, Societe De Beers Drc Exploration SPRL, Societe De Developpement Et D’investissement Minier Du Congo, Societe De Developpement Industriel Et Minier De Katanga, Societe De Traitement De Terril De Lubumbashi, Societe Golden Africa Ressources SPRL, Societe Immobiliere Du Congo, Societe Kamituga Mining S.A.R.L, Societe Lugushwa Mining S.A.R.L, Societe Miniere De Kabolela Et Kipese, Societe Miniere De Kilo Moto, Societe Miniere De Kolwezi, Societe Miniere De Moku Beverend, Societe Miniere Deziwa Ecaille, Societe Miniere Du Katanga, Sodifor SPRL,Tenke Fungurume Mining, Twangiza Mining, Wana Africa Congo Gold ***

",110.0,December 2014,,Moore Stephens,https://eiti.org/files/Rapport%20de%20Conciliation%20ITIE%20RDC%202012.pdf,,Companies requested to report / reporting section unclear.
EquatorialGuinea2007,2007,Equatorial Guinea,2007_Equatorial Guinea,Africa,,"Oil, Gas",12303546531.135998,,,,6148771541.760594,4083149750.841968,,,,0.49975602775997896,,479.27,,,,,,,,,,41922.0,,,,This report is not mentioned on www.eiti.org.
EquatorialGuinea2008,2008,Equatorial Guinea,2008_Equatorial Guinea,Africa,,"Oil, Gas",17263740463.5232,,,,9119117112.056475,6011049981.865613,,,,0.5282237143986487,,447.81,,,,,,,,,,41922.0,,,,This report is not mentioned on www.eiti.org.
Gabon2004,2004,Gabon,2004_Gabon,Africa,,Oil,3774552600.0000005,"Host government's production entitlement, State-owned company production entitlement, Profits/Taxes, Royalties, Dividends, Bonuses",Does not include payments made in-kind,,775990000.0,808829000.0,,,,0.20558463008304612,,526.0,,,,,,,,,,41922.0,,,,This report is not mentioned on www.eiti.org.
Gabon2005,2005,Gabon,2005_Gabon,Africa,,"Oil, Mining",5385591253.1135435,"Host government's production entitlement, State-owned company production entitlement, Profits/Taxes, Royalties, Dividends, Bonuses",Does not include payments made in-kind,,1716414357.4144487,1748730093.1558936,,,,0.3187049066195187,,,,,,,,,,,,41922.0,,,,This report is not mentioned on www.eiti.org. 
Gabon2006,2006,Gabon,2006_Gabon,Africa,,"Oil, Mining",5803415216.966893,"Host government's production entitlement, Profits/Taxes, Royalties, Dividends, Bonuses",Does not include payments made in-kind,,1944187567.1747403,2007587567.17474,,,,0.3350074903292641,,522.89,,,,,,,,,,41922.0,,,,This report is not mentioned on www.eiti.org. 
Ghana2004,2004,Ghana,2004_Ghana,Africa,http://www.gheiti.gov.gh/,Mining,934916745.66586,"Royalty, mineral right license, ground rent, property rates, corporate tax, dividends",Does not include payments made in-kind,-,27021531.67,27012825.07,≈80% of revenue,33776914.587500006,Inferred from EITI Report,0.03612825927451288,Ghana Cedi,0.91,Disaggregated by revenue stream,,,,,8.0,"Anglogold Ashanti-Obuasi, Anglogold Ashanti-Bibiani, Anglogold Ashanti-Iduaprim, GSR-Prestea/Bogosu, Gold Fields (Ghana) Ltd-Tarkwa, Abosso Goldfields Ltd, Ghana Manganese Ltd, Ghana Bauxite Co. Ltd",8.0,September 2007,41891.0,Boas & Associates,http://eiti.org/files/Ghana%202004-2008%20EITI%20Report_0.pdf,33-34,"Materiality threshold: The largest companies which make up over 80% of total mining revenues in 2004-8, and paid over 99% of mineral royalties in 2004, should be reconciled. There is some disaggregation by company, and therefore also by commodity, but this is not comprehensive. Unilateral declarations do not appear to be included in the figures. "
Ghana2005,2005,Ghana,2005_Ghana,Africa,http://www.gheiti.gov.gh/,Mining,1079670872.9350934,"Profits/Taxes, Royalties, Dividends, Licenses and concessions",Does not include payments made in-kind,-,44654643.0,44137187.0,≈80% of revenue,55818303.75,Inferred from EITI Report,0.05169936982578545,Ghana Cedi,0.91,"Disaggregated by revenue stream, Disaggregated by commodity, Disaggregated by company, Disaggregated by company and revenue stream, Disaggregated by commodity and revenue stream",,,,,9.0,"Anglogold Ashanti-Obuasi, Anglogold Ashanti-Bibiani, Anglogold Ashanti-Iduaprim, Bogosu Gikd Ktd (GSR), Gold Fields (Ghana) Ltd-Tarkwa, Abosso Goldfields Ltd, Wexford Goldfield (GSR-Ayempim), Ghana Manganese Ltd, Ghana Bauxite Co. Ltd",9.0,March 2008,41891.0,Boas & Associates,http://eiti.org/files/Ghana%202005%20EITI%20Report.pdf,18.0,"Materiality threshold: The largest companies which make up over 80% of total mining revenues in 2004-8, and paid over 99% of mineral royalties in 2005, should be reconciled. Unilateral declarations do not appear to be included in the figures. "
Ghana2006,2006,Ghana,2006_Ghana,Africa,http://www.gheiti.gov.gh/,Mining,1514679564.9949055,"Profits/Taxes, Royalties, Dividends, Licenses and concessions",Does not include payments made in-kind,-,66220560.0,66776712.0,≈80% of revenue,82775700.0,Inferred from EITI Report,0.05464898445386923,Ghana Cedi,0.92,"Disaggregated by revenue stream, Disaggregated by commodity, Disaggregated by company, Disaggregated by company and revenue stream, Disaggregated by commodity and revenue stream",,,,,11.0,"Anglogold Ashanti-Obuasi, Anglogold Ashanti-Iduaprim, GSR (Prestea/Bogosu), Gold Fields (Ghana) Ltd-Tarkwa, Abosso Goldfields Ltd, GSR(Wassa) Ltd, Central African Gold, Chirano Goldmines, Newmont (Ghana) Ltd, Ghana Manganese Ltd, Ghana Bauxite Co. Ltd",11.0,August 2010,41892.0,Boas & Associates,http://eiti.org/files/Ghana%202006%20EITI%20Report.pdf,23.0,"Materiality threshold: The largest companies which make up over 80% of total mining revenues in 2004-8, and paid over 99% of mineral royalties in 2006, should be reconciled. Unilateral declarations do not appear to be included in the figures. "
Ghana2007,2007,Ghana,2007_Ghana,Africa,http://www.gheiti.gov.gh/,Mining,1792412596.4344938,"Profits/Taxes, Royalties, Dividends, Licenses and concessions",Does not include payments made in-kind,-,61767543.0,64548464.0,≈80% of revenue,77209428.75,Inferred from EITI Report,0.0430757008199935,Ghana Cedi,0.99,"Disaggregated by revenue stream, Disaggregated by commodity, Disaggregated by company, Disaggregated by company and revenue stream, Disaggregated by commodity and revenue stream",,,,,11.0,"Anglogold Ashanti-Obuasi, Anglogold Ashanti-Iduaprim, GSR (Prestea/Bogosu), Gold Fields (Ghana) Ltd-Tarkwa, Abosso Goldfields Ltd, GSR(Wassa) Ltd, Central African Gold, Chirano Goldmines, Newmont (Ghana) Ltd, Ghana Manganese Ltd, Ghana Bauxite Co. Ltd",11.0,August 2010,41892.0,Boas & Associates,http://eiti.org/files/Ghana%202007%20EITI%20Report.pdf,20.0,"Materiality threshold: The largest companies which make up over 80% of total mining revenues in 2004-8, and paid over 99% of mineral royalties in 2007, should be reconciled. Unilateral declarations do not appear to be included in the figures. "
Ghana2008,2008,Ghana,2008_Ghana,Africa,http://www.gheiti.gov.gh/,Mining,2255388994.6882257,"Profits/Taxes, Royalties, Dividends",Does not include payments made in-kind,-,91193482.0,90840454.0,≈80% of revenue,113991852.49999999,Inferred from EITI Report,0.05054199198828568,Ghana Cedi,1.05,"Disaggregated by revenue stream, Disaggregated by commodity, Disaggregated by company, Disaggregated by company and revenue stream, Disaggregated by commodity and revenue stream",,,,,11.0,"Anglogold Ashanti-Obuasi, Anglogold Ashanti-Iduaprim, GSR (Prestea/Bogosu), Gold Fields (Ghana) Ltd-Tarkwa, Abosso Goldfields Ltd, GSR(Wassa) Ltd, Central African Gold, Chirano Goldmines, Newmont (Ghana) Ltd, Ghana Manganese Ltd, Ghana Bauxite Co. Ltd",11.0,August 2010,41892.0,Boas & Associates,http://eiti.org/files/Ghana%202008%20EITI%20Report.pdf,19.0,"Materiality threshold: The largest companies which make up over 80% of total mining revenues in 2004-8, and paid over 99% of mineral royalties in 2008, should be reconciled. Unilateral declarations do not appear to be included in the figures. "
Ghana2009,2009,Ghana,2009_Ghana,Africa,http://www.gheiti.gov.gh/,Mining,2739873764.779463,"Profits/Taxes, Royalties, Dividends",Does not include payments made in-kind,-,111972313.33333333,111975972.38095237,,,,0.04086769061141259,Ghana Cedi,1.05,"Disaggregated by revenue stream, Disaggregated by commodity, Disaggregated by company, Disaggregated by company and revenue stream, Disaggregated by commodity and revenue stream",,,,,10.0,"Anglogold Ashanti-Obuasi, Anglogold Ashanti-Iduaprim, GSR (Prestea/Bogosu), Gold Fields (Ghana) Ltd-Tarkwa, Abosso Goldfields Ltd, GSR(Wassa) Ltd, Chirano Goldmines, Newmont (Ghana) Ltd, Ghana Manganese Ltd, Ghana Bauxite Co. Ltd",10.0,August 2011,41892.0,Boas & Associates,http://eiti.org/files/Ghana%202009%20EITI%20Report.pdf,16.0,"Materiality threshold: The largest companies which paid 99% of mineral royalties in 2009 should be reconciled. Resolved discerpancies are not included in the final figures, but these have been added retrospectively. Unilateral declarations do not appear to be included in the figures. "
Ghana2010,2010,Ghana,2010_Ghana,Africa,http://www.gheiti.gov.gh/,"Oil, Gas, Mining",3547091405.702443,"State-owned company production entitlement, Profits/Taxes, Royalties, Dividends, Licenses and concessions, Other significant benefits to government",Does not include payments made in-kind,-,212460480.0,192644934.0,,,,0.05989709756518826,United States Dollar and Ghana Cedi,1.41,"Disaggregated by revenue stream, Disaggregated by commodity, Disaggregated by company, Disaggregated by company and revenue stream, Disaggregated by commodity and revenue stream",,,,,18.0,"Anglogold Ashanti-Obuasi, Anglogold Ashanti-Iduaprim, Adamus Resources Ltd, GSR (Prestea/Bogosu), Gold Fields (Ghana) Ltd-Tarkwa, Abosso Goldfields Ltd, GSR(Wassa) Ltd, Chirano Goldmines, Newmont (Ghana) Ltd, Ghana Manganese Ltd, Ghana Bauxite Co. Ltd, Tullow (Ghana) Limited, Kosmos Energy Ghana HC, Ghana National Petroleum Corporation (GNPC), Saltpond Oil Fields, Anadarko (Ghana) Limited, Sabre Oil and Gas Holdings Ltd, E.O. Group Ltd",18.0,February 2013,41892.0,Boas & Associates,http://eiti.org/files/Ghana-2010-2011-EITI-Report.pdf; http://eiti.org/files/Ghana-2010-2011-Oil%26Gas-EITI-Report.pdf,"31 (of oil & gas report), 19 (of mining report)","The report uses US dollars for payments by oil companies, and the local currency, the Ghana Cedi, for payments by mining companies. Materiality threshold: All oil & gas comapnies operating in the Jubilee and Saltpond field should be reconciled; the largest mining companies which paid 99% of mineral royalties in 2010 should be reconciled. The report doesn't distinguish between oil and gas producers. Oil and gas payments are only comprehensively disaggregated by revenue stream. Resolved discrepancies are not included in the final figures for mining payments, but there is insufficent information to add these retrospectively. Unilateral declarations do not appear to be included in the figures. The Ghana National Petroleum Corporation is a SOC engaged in the in exploration, production and disposal of petroleum products. The report also includes: company and project costs; the pricing mechanism for oil; the expenditure of extractive industry revenues."
