Period Covered,Country,,Region,Publication Date,Sector,Government Revenues (US$)
2006.0,Cameroon,2006_Cameroon,Africa,June 2010,"Oil, Mining",1599006845.61875
2007.0,Cameroon,2007_Cameroon,Africa,June 2010,"Oil, Mining",1803241787.7304473
2008.0,Cameroon,2008_Cameroon,Africa,June 2010,"Oil, Mining",2362223467.224865
2009.0,Cameroon,2009_Cameroon,Africa,April 2013,"Oil, Mining",3501213151.7658243
2010.0,Cameroon,2010_Cameroon,Africa,April 2013,"Oil, Mining",3676246858.7772026
2011.0,Cameroon,2011_Cameroon,Africa,August 2013,"Oil, Gas, Mining",1566015122.0
2012.0,Cameroon,2012_Cameroon,Africa,December 2014,"Oil, Gas, Mining",1529320794.4
2006.0,Central African Republic,2006_Central African Republic,Africa,February 2009,Mining,10973706.76241657
2007.0,Central African Republic,2007_Central African Republic,Africa,July 2010,Mining,3520131.524008351
2008.0,Central African Republic,2008_Central African Republic,Africa,July 2010,Mining,4042178.5714285714
2009.0,Central African Republic,2009_Central African Republic,Africa,July 2010,Mining,6056423.72881356
2010.0,Central African Republic,2010_Central African Republic,Africa,December 2012,Mining,20633575.0
2007.0,Chad,2007_Chad,Africa,October 2012,"Oil, Gas, Mining",1183293262.0
2008.0,Chad,2008_Chad,Africa,October 2012,"Oil, Gas, Mining",1908801646.0
2009.0,Chad,2009_Chad,Africa,October 2012,"Oil, Gas, Mining",614882373.0
2010.0,Chad,2010_Chad,Africa,May 2013,"Oil, Gas, Mining",1347744000.0
2011.0,Chad,2011_Chad,Africa,May 2013,"Oil, Gas, Mining",2146562000.0
2012.0,Chad,2012_Chad,Africa,March 2014,"Oil, Gas, Mining",2109663000.0
2006.0,Côte d'Ivoire,2006_Côte d'Ivoire,Africa,January 2010,"Oil, Gas",84482680.0
2007.0,Côte d'Ivoire,2007_Côte d'Ivoire,Africa,January 2010,"Oil, Gas",121454480.00000001
2008.0,Côte d'Ivoire,2008_Côte d'Ivoire,Africa,May 2012,"Oil, Gas, Mining",594748911.0
2009.0,Côte d'Ivoire,2009_Côte d'Ivoire,Africa,May 2012,"Oil, Gas, Mining",284861428.97265005
2010.0,Côte d'Ivoire,2010_Côte d'Ivoire,Africa,May 2012,"Oil, Gas, Mining",245231916.38661528
2011.0,Côte d'Ivoire,2011_Côte d'Ivoire,Africa,May 2013,"Oil, Gas, Mining",389368836.0980392
2012.0,Côte d'Ivoire,2012_Côte d'Ivoire,Africa,December 2014,"Oil, Gas, Mining",615027475.0
2007.0,Democratic Republic of Congo,2007_Democratic Republic of Congo,Africa,November 2009,"Oil, Gas, Mining",416300000.0
2008.0,Democratic Republic of Congo,2008_Democratic Republic of Congo,Africa,January 2012,"Oil, Gas, Mining",516117440.1030104
2009.0,Democratic Republic of Congo,2009_Democratic Republic of Congo,Africa,January 2012,"Oil, Gas, Mining",253718209.59147424
2010.0,Democratic Republic of Congo,2010_Democratic Republic of Congo,Africa,January 2013,"Oil, Gas, Mining",875938726.0
2011.0,Democratic Republic of Congo,2011_Democratic Republic of Congo,Africa,December 2013,"Oil, Gas, Mining",1413126313.0
2012.0,Democratic Republic of Congo,2012_Democratic Republic of Congo,Africa,December 2014,"Oil, Mining",1505213145.0
2007.0,Equatorial Guinea,2007_Equatorial Guinea,Africa,,"Oil, Gas",6148771541.760594
2008.0,Equatorial Guinea,2008_Equatorial Guinea,Africa,,"Oil, Gas",9119117112.056475
2004.0,Gabon,2004_Gabon,Africa,,Oil,775990000.0
2005.0,Gabon,2005_Gabon,Africa,,"Oil, Mining",1716414357.4144487
2006.0,Gabon,2006_Gabon,Africa,,"Oil, Mining",1944187567.1747403
2004.0,Ghana,2004_Ghana,Africa,September 2007,Mining,27021531.67
2005.0,Ghana,2005_Ghana,Africa,March 2008,Mining,44654643.0
2006.0,Ghana,2006_Ghana,Africa,August 2010,Mining,66220560.0
2007.0,Ghana,2007_Ghana,Africa,August 2010,Mining,61767543.0
2008.0,Ghana,2008_Ghana,Africa,August 2010,Mining,91193482.0
2009.0,Ghana,2009_Ghana,Africa,August 2011,Mining,111972313.33333333
2010.0,Ghana,2010_Ghana,Africa,February 2013,"Oil, Gas, Mining",212460480.0
2011.0,Ghana,2011_Ghana,Africa,February 2013,"Oil, Gas, Mining",942698326.4100001
2012.0,Ghana,2012_Ghana,Africa,December 2014,"Oil, Mining",1112429755.66
2013.0,Ghana,2013_Ghana,Africa,December 2014,"Oil, Mining",1269116732.93
2010.0,Guatemala,2010_Guatemala,Latin America and Caribbean,April 2013,"Oil, Gas, Mining",155800631.0
2011.0,Guatemala,2011_Guatemala,Latin America and Caribbean,May 2013,"Oil, Gas, Mining",224641623.0
2005.0,Guinea,2005_Guinea,Africa,July 2007,Mining,138153403.0
2006.0,Guinea,2006_Guinea,Africa,March 2012,Mining,129435000.0
2007.0,Guinea,2007_Guinea,Africa,August 2012,Mining,171775146.47727105
2008.0,Guinea,2008_Guinea,Africa,August 2012,Mining,211216758.63145587
2009.0,Guinea,2009_Guinea,Africa,August 2012,Mining,204355820.14115614
2010.0,Guinea,2010_Guinea,Africa,August 2012,Mining,218560221.14787036
2011.0,Guinea,2011_Guinea,Africa,December 2013,Mining,975948622.4958882
2012.0,Guinea,2012_Guinea,Africa,December 2013,Mining,371466405.8297514
2009.0,Indonesia,2009_Indonesia,East Asia and Pacific,May 2013,"Oil, Gas, Mining",24925055610.0
2010.0,Indonesia,2010_Indonesia,East Asia and Pacific,May 2014,"Oil, Gas, Mining",32949795856.0
2011.0,Indonesia,2011_Indonesia,East Asia and Pacific,May 2014,"Oil, Gas, Mining",44779611925.0
2009.0,Iraq,2009_Iraq,Middle East and North Africa,November 2011,Oil,41249682456.5
2010.0,Iraq,2010_Iraq,Middle East and North Africa,December 2012,Oil,53852645106.35
2011.0,Iraq,2011_Iraq,Middle East and North Africa,December 2013,Oil,82986002828.0
2012.0,Iraq,2012_Iraq,Middle East and North Africa,December 2014,Oil,94032633453.0
2005.0,Kazakhstan,2005_Kazakhstan,Europe and Central Asia,November 2007,Oil,2622996991.0
2006.0,Kazakhstan,2006_Kazakhstan,Europe and Central Asia,November 2008,"Oil, Gas",10237431640.0
2007.0,Kazakhstan,2007_Kazakhstan,Europe and Central Asia,April 2010,"Oil, Gas",12635329400.0
2008.0,Kazakhstan,2008_Kazakhstan,Europe and Central Asia,April 2010,"Oil, Gas",21000131830.0
2009.0,Kazakhstan,2009_Kazakhstan,Europe and Central Asia,May 2011,"Oil, Gas, Mining",12722411270.0
2010.0,Kazakhstan,2010_Kazakhstan,Europe and Central Asia,December 2012,"Oil, Gas, Mining",20754211560.0
2011.0,Kazakhstan,2011_Kazakhstan,Europe and Central Asia,December 2012,"Oil, Gas, Mining",28779202170.0
2012.0,Kazakhstan,2012_Kazakhstan,Europe and Central Asia,December 2014,"Oil, Gas, Mining",30672394366.0
2013.0,Kazakhstan,2013_Kazakhstan,Europe and Central Asia,December 2014,"Oil, Gas, Mining",30773721236.0
2004.0,Kyrgyz Republic,2004_Kyrgyz Republic,Europe and Central Asia,November 2009,Mining,30473246.0
2005.0,Kyrgyz Republic,2005_Kyrgyz Republic,Europe and Central Asia,November 2009,Mining,29106335.0
2006.0,Kyrgyz Republic,2006_Kyrgyz Republic,Europe and Central Asia,November 2009,Mining,26120301.0
2007.0,Kyrgyz Republic,2007_Kyrgyz Republic,Europe and Central Asia,November 2009,Mining,28210188.0
2008.0,Kyrgyz Republic,2008_Kyrgyz Republic,Europe and Central Asia,November 2009,"Oil, Gas, Mining",72855334.0
2009.0,Kyrgyz Republic,2009_Kyrgyz Republic,Europe and Central Asia,July 2011,"Oil, Gas, Mining",96148291.0
2010.0,Kyrgyz Republic,2010_Kyrgyz Republic,Europe and Central Asia,December 2012,"Oil, Gas, Mining",143976791.0
2011.0,Kyrgyz Republic,2011_Kyrgyz Republic,Europe and Central Asia,December 2012,"Oil, Gas, Mining",246173059.0
2012.0,Kyrgyz Republic,2012_Kyrgyz Republic,Europe and Central Asia,April 2014,"Oil, Gas, Mining",217306922.0
2008.0,Liberia,2008_Liberia,Africa,January 2009,"Oil, Mining, Forestry",29450878.97787335
2009.0,Liberia,2009_Liberia,Africa,January 2010,"Oil, Mining, Forestry, Agriculture",35425230.0
2010.0,Liberia,2010_Liberia,Africa,January 2011,"Oil, Mining, Forestry, Agriculture",71896113.0
2011.0,Liberia,2011_Liberia,Africa,May 2013,"Oil, Mining, Forestry, Agriculture",102802566.91
2012.0,Liberia,2012_Liberia,Africa,June 2014,"Oil, Mining, Forestry, Agriculture",110146657.0
2007.0,Madagascar,2007_Madagascar,Africa,May 2011,Mining,48300000.0
2008.0,Madagascar,2008_Madagascar,Africa,May 2011,Mining,55300000.0
2009.0,Madagascar,2009_Madagascar,Africa,May 2011,Mining,20900000.0
2010.0,Madagascar,2010_Madagascar,Africa,September 2012,"Oil, Gas, Mining",160705175.4177406
2011.0,Madagascar,2011_Madagascar,Africa,September 2013,"Oil, Gas, Mining",87349503.05170116
2006.0,Mali,2006_Mali,Africa,November 2009,Mining,221333358.83264166
2007.0,Mali,2007_Mali,Africa,May 2011,Mining,283774774.17844975
2008.0,Mali,2008_Mali,Africa,May 2011,Mining,281237313.39930284
2009.0,Mali,2009_Mali,Africa,November 2011,"Mining, Oil",380403587.3083742
2010.0,Mali,2010_Mali,Africa,December 2012,Mining,346547621.39714646
2011.0,Mali,2011_Mali,Africa,December 2013,Mining,425193486.5983402
2012.0,Mali,2012_Mali,Africa,December 2014,Mining,481528351.0
2005.0,Mauritania,2005_Mauritania,Africa,February 2007,"Oil, Gas, Mining",29636377.09486687
2006.0,Mauritania,2006_Mauritania,Africa,June 2007,"Oil, Gas, Mining",280165029.7840655
2007.0,Mauritania,2007_Mauritania,Africa,June 2011,"Oil, Mining",175753291.2240898
2008.0,Mauritania,2008_Mauritania,Africa,June 2011,"Oil, Mining",231365651.58618
2009.0,Mauritania,2009_Mauritania,Africa,September 2011,"Oil, Mining",191165715.06295663
2010.0,Mauritania,2010_Mauritania,Africa,June 2013,"Oil, Gas, Mining",270018612.9911618
2011.0,Mauritania,2011_Mauritania,Africa,June 2013,"Oil, Gas, Mining",448018316.7655246
2012.0,Mauritania,2012_Mauritania,Africa,December 2014,"Oil, Mining",472169395.83
2006.0,Mongolia,2006_Mongolia,East Asia and Pacific,December 2007,"Oil, Mining",411987301.6
2007.0,Mongolia,2007_Mongolia,East Asia and Pacific,October 2009,"Oil, Mining",640532901.0
2008.0,Mongolia,2008_Mongolia,East Asia and Pacific,May 2010,"Oil, Mining",587942636.0
2009.0,Mongolia,2009_Mongolia,East Asia and Pacific,May 2011,"Oil, Mining",512525992.42710215
2010.0,Mongolia,2010_Mongolia,East Asia and Pacific,May 2012,"Oil, Mining",943183886.0
2011.0,Mongolia,2011_Mongolia,East Asia and Pacific,November 2012,"Oil, Mining",1716796513.0
2012.0,Mongolia,2012_Mongolia,East Asia and Pacific,January 2013,"Oil, Mining",1180619495.0
2013.0,Mongolia,2013_Mongolia,East Asia and Pacific,December 2014,"Oil, Mining",1054895582.33
2008.0,Mozambique,2008_Mozambique,Africa,January 2011,"Gas, Mining",25571802.53097141
2009.0,Mozambique,2009_Mozambique,Africa,March 2012,"Oil, Gas, Mining",51049678.183363676
2011.0,Mozambique,2011_Mozambique,Africa,March 2014,"Oil, Gas, Mining",115116240.28
2010.0,Mozambique,2010_Mozambique,Africa,December 2012,"Oil, Gas, Mining",71555872.33687955
2005.0,Niger,2005_Niger,Africa,September 2009,"Oil, Mining",14928853.70728069
2006.0,Niger,2006_Niger,Africa,September 2009,"Oil, Mining",25063833.699167486
2007.0,Niger,2007_Niger,Africa,December 2010,"Oil, Gas, Mining",147175593.54643524
2008.0,Niger,2008_Niger,Africa,December 2010,"Oil, Gas, Mining",418740295.82386595
2009.0,Niger,2009_Niger,Africa,December 2010,"Oil, Gas, Mining",143129702.9482843
2010.0,Niger,2010_Niger,Africa,June 2012,"Oil, Gas, Mining",109503726.04387245
2011.0,Niger,2011_Niger,Africa,December 2013,"Oil, Gas, Mining",119279040.34148772
2012.0,Niger,2012_Niger,Africa,December 2014,"Oil, Mining",344759167.0
1999.0,Nigeria,1999_Nigeria,Africa,October 2006,"Oil, Gas",8073000000.0
2000.0,Nigeria,2000_Nigeria,Africa,October 2006,"Oil, Gas",15807000000.0
2001.0,Nigeria,2001_Nigeria,Africa,October 2006,"Oil, Gas",15909000000.0
2002.0,Nigeria,2002_Nigeria,Africa,October 2006,"Oil, Gas",11875000000.0
2003.0,Nigeria,2003_Nigeria,Africa,October 2006,"Oil, Gas",17091000000.0
2004.0,Nigeria,2004_Nigeria,Africa,October 2006,"Oil, Gas",26596000000.0
2005.0,Nigeria,2005_Nigeria,Africa,September 2008,"Oil, Gas",37761759990.70618
2006.0,Nigeria,2006_Nigeria,Africa,January 2011,"Oil, Gas",45464400000.0
2007.0,Nigeria,2007_Nigeria,Africa,January 2011,"Oil, Gas",43678500000.0
2008.0,Nigeria,2008_Nigeria,Africa,January 2011,"Oil, Gas",59398200000.0
2009.0,Nigeria,2009_Nigeria,Africa,January 2013,"Oil, Gas",30129486000.0
2010.0,Nigeria,2010_Nigeria,Africa,January 2013,"Oil, Gas",44944995000.0
2011.0,Nigeria,2011_Nigeria,Africa,January 2013 (oil & gas report); May 2014 (mining report),"Oil, Gas, Mining",68613385930.0
2012.0,Nigeria,2012_Nigeria,Africa,December 2014,Mining,177501338.81
2008.0,Norway,2008_Norway,Europe and Central Asia,November 2009,"Oil, Gas",71008812.23404256
2009.0,Norway,2009_Norway,Europe and Central Asia,October 2010,"Oil, Gas",42349871974.52229
2010.0,Norway,2010_Norway,Europe and Central Asia,April 2012,"Oil, Gas",44013892000.0
2011.0,Norway,2011_Norway,Europe and Central Asia,October 2010,"Oil, Gas",60421715740.0
2012.0,Norway,2012_Norway,Europe and Central Asia,October 2010,"Oil, Gas",65229640210.0
2004.0,Peru,2004_Peru,Latin America and Caribbean,October 2009,"Oil, Gas, Mining",884263514.4985337
2005.0,Peru,2005_Peru,Latin America and Caribbean,October 2009,"Oil, Gas, Mining",1756747244.267477
2006.0,Peru,2006_Peru,Latin America and Caribbean,October 2009,"Oil, Gas, Mining",2926435259.9327216
2007.0,Peru,2007_Peru,Latin America and Caribbean,October 2009,"Oil, Gas, Mining",3125388072.794872
2008.0,Peru,2008_Peru,Latin America and Caribbean,December 2011,"Oil, Gas, Mining",3573697357.7190704
2009.0,Peru,2009_Peru,Latin America and Caribbean,December 2012,"Oil, Gas, Mining",2965369766.4701195
2010.0,Peru,2010_Peru,Latin America and Caribbean,December 2013,"Oil, Gas, Mining",4358147652.27247
2011.0,Peru,2011_Peru,Latin America and Caribbean,February 2014,"Oil, Gas, Mining",5884323617.0
2012.0,Peru,2012_Peru,Latin America and Caribbean,February 2014,"Oil, Gas, Mining",5480907241.0
2004.0,Republic of the Congo,2004_Republic of the Congo,Africa,August 2008,"Oil, Gas",802597372.7274218
2005.0,Republic of the Congo,2005_Republic of the Congo,Africa,August 2009,"Oil, Gas",1738493617.951367
2006.0,Republic of the Congo,2006_Republic of the Congo,Africa,August 2009,"Oil, Gas",2581804427.329393
2007.0,Republic of the Congo,2007_Republic of the Congo,Africa,October 2010,"Oil, Gas",2553350325.830701
2008.0,Republic of the Congo,2008_Republic of the Congo,Africa,October 2010,"Oil, Gas",4645910135.553427
2009.0,Republic of the Congo,2009_Republic of the Congo,Africa,October 2010,"Oil, Gas",2343960552.735944
2010.0,Republic of the Congo,2010_Republic of the Congo,Africa,December 2011,"Oil, Gas",3195780380.0319676
2011.0,Republic of the Congo,2011_Republic of the Congo,Africa,September 2012,"Oil, Gas",5529544307.0
2012.0,Republic of the Congo,2012_Republic of the Congo,Africa,December 2013,"Oil, Gas, Mining",3185676000.0
2013.0,Republic of the Congo,2013_Republic of the Congo,Africa,December 2014,"Oil, Gas",3041615000.0
2006.0,Sierra Leone,2006_Sierra Leone,Africa,February 2010,Mining,7255694.5761567
2007.0,Sierra Leone,2007_Sierra Leone,Africa,February 2010,Mining,10201528.66588471
2008.0,Sierra Leone,2008_Sierra Leone,Africa,September 2012,"Oil, Gas, Mining",4427564.2110363245
2009.0,Sierra Leone,2009_Sierra Leone,Africa,September 2012,"Oil, Gas, Mining",5875777.997759668
2010.0,Sierra Leone,2010_Sierra Leone,Africa,September 2012,"Oil, Gas, Mining",7586792.565150404
2011.0,Sierra Leone,2011_Sierra Leone,Africa,December 2013,"Oil, Gas, Mining",27621406.0
2009.0,Tanzania,2009_Tanzania,Africa,January 2011,"Gas, Mining",102252340.0
2010.0,Tanzania,2010_Tanzania,Africa,May 2012,"Gas, Mining",305762430.1
2011.0,Tanzania,2011_Tanzania,Africa,June 2013,"Gas, Mining",329804745.0
2012.0,Tanzania,2012_Tanzania,Africa,June 2014,"Oil, Gas, Mining",468277747.6995896
2008.0,Timor-Leste,2008_Timor-Leste,East Asia and Pacific,October 2009,"Oil, Gas",2509572538.0
2009.0,Timor-Leste,2009_Timor-Leste,East Asia and Pacific,February 2011,"Oil, Gas",1763889996.0
2010.0,Timor-Leste,2010_Timor-Leste,East Asia and Pacific,November 2012,"Oil, Gas",2149721568.0
2011.0,Timor-Leste,2011_Timor-Leste,East Asia and Pacific,December 2012,"Oil, Gas",3453285817.0
2010.0,Togo,2010_Togo,Africa,February 2012,"Oil, Mining, Other",60128720.44646464
2011.0,Togo,2011_Togo,Africa,February 2013,"Oil, Mining, Other",31315792.572
2012.0,Togo,2012_Togo,Africa,December 2014,Mining,31681601.94
2011.0,Trinidad and Tobago,2011_Trinidad and Tobago,Latin America and Caribbean,September 2013,"Oil, Gas",3593984496.0
2005.0,Yemen,2005_Yemen,Middle East and North Africa,September 2010,"Oil, Gas",4668154975.0
2006.0,Yemen,2006_Yemen,Middle East and North Africa,September 2010,"Oil, Gas",5122351269.0
2007.0,Yemen,2007_Yemen,Middle East and North Africa,September 2010,"Oil, Gas",5331162225.0
2008.0,Yemen,2008_Yemen,Middle East and North Africa,June 2013,"Oil, Gas",7591231594.0
2009.0,Yemen,2009_Yemen,Middle East and North Africa,June 2013,"Oil, Gas",3625997931.0
2010.0,Yemen,2010_Yemen,Middle East and North Africa,June 2013,"Oil, Gas",5081696110.0
2011.0,Yemen,2011_Yemen,Middle East and North Africa,April 2014,"Oil, Gas",5539756725.0
2008.0,Zambia,2008_Zambia,Africa,January 2011,Mining,470370875.0
2009.0,Zambia,2009_Zambia,Africa,February 2012,Mining,533783358.0
2010.0,Zambia,2010_Zambia,Africa,February 2013,Mining,757063737.0
2011.0,Zambia,2011_Zambia,Africa,February 2014,Mining,1588841770.0
2012.0,Zambia,2012_Zambia,Africa,November 2014,"Oil, Mining",1537626771.04
2013.0,Zambia,2013_Zambia,Africa,December 2014,"Oil, Mining",1498550077.77
